index,national,country,format_name,name,geo_type,iso_a3,marker_lat,marker_long,name_popup,inc_popup,inc_popup_cd,inc_popup_uc,epi_stage_popup,WESP_18_class_popup,inc_IBD,inc_CD,inc_UC,inc_IBD_popup,inc_CD_popup,inc_UC_popup,epi_stage,pop_based,inc_most_recent,inc_AAPC,WESP_18_class,UN_geoscheme,decade,Notes,DeveloperNotes
35,,China,Kunming,Kunming,municipality,,24.8843019,102.8324209,"<p style=""font-size: 150%""><b>Kunming</b></p>","<p style=""font-size: 125%""><b>Kunming:</b> In 2012, the incidence of Crohn’s disease and ulcerative colitis was 0.06/100,000 and 1.1/100,000, respectively (<a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>).</p>","<p style=""font-size: 125%""><b>Kunming:</b> In 2012, the incidence of Crohn’s disease was 0.06/100,000 (<a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>).</p>","<p style=""font-size: 125%""><b>Kunming:</b> In 2012, the incidence of ulcerative colitis was 0.06/100,000 and 1.1/100,000 (<a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>",China,,,,,,,CP,pop,,,China,,,,example
36,,China,Xi'an,Xi'an,municipality,,34.3430507,108.9350839,"<p style=""font-size: 150%""><b>Xi'an</b></p>","<p style=""font-size: 125%""><b>Xi'an:</b> In 2011, the incidence of Crohn’s disease and ulcerative colitis was 0.05/100,000 and 0.41/100,000, respectively (<a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>). In 2012, the incidence of Crohn’s disease and ulcerative colitis was 0.05/100,000 and 0.44/100,000, respectively (<a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>).</p>","<p style=""font-size: 125%""><b>Xi'an:</b> In 2011, the incidence of Crohn’s disease was 0.05/100,000  (<a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>). In 2012, the incidence of Crohn’s disease was 0.05/100,000 (<a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>).</p>","<p style=""font-size: 125%""><b>Xi'an:</b> In 2011, the incidence of ulcerative colitis was  0.41/100,000 (<a href='https://www.gastrojournal.org/article/S0016-5085(13)00500-3/fulltext?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2013</a>). In 2012, the incidence of ulcerative colitis was 0.44/100,000 (<a href='https://www.gastrojournal.org/article/S0016-5085(16)30195-0/pdf?referrer=https%3A%2F%2Fucalgary.maps.arcgis.com%2Fapps%2Fdashboards%2F3039bf6257ac4397b243dcd4915e44b5' target='_blank'>Ng 2016</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>",China,,,,,,,CP,pop,,,China,,,,example
37,No,Croatia,Croatia,Croatia,country,HRV,45.5643442,17.0118954,"<p style=""font-size: 150%""><b>Croatia</b></p>","<p style=""font-size: 125%""><b>Primorsko-Goranska:</b> In 1995, the incidence of Crohn’s disease and ulcerative colitis were both 2.7/100,000. In 2004, the incidence had risen to 7.2/100,000 and 3.3/100,000 for Crohn’s disease and ulcerative colitis, respectively (<a href='https://www.tandfonline.com/doi/full/10.1080/00365520500320094' target='_blank'>Sincic 2006</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).<br><br>

<b>Rijeka and Istria:</b> Over the period 1973–1994, the incidence of Crohn’s disease is estimated at 1.52/100,000. Looking exclusively at the 1990–1994 period, the incidence of Crohn’s disease is estimated at 2.92/100,000 (<a href='https://www.bib.irb.hr/692757' target='_blank'>Jovanovic 1999</a>).<br><br>

<b>Vukovarsko-Srijemska:</b> In 1991, there were no cases of Crohn’s disease, but the incidence of ulcerative colitis was 0.5/100,000. In 2010, the incidence of Crohn’s disease was 2/100,000 and the incidence of ulcerative colitis was 7/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).<br><br>

<b>Zadar:</b> In 2001, the incidence of Crohn’s disease and ulcerative colitis were both 5.5/100,000. In 2010, the incidence of Crohn’s disease was 9.27/100,000, which was as high as 15.92/100,000 in 2008. In 2010, the incidence of ulcerative colitis was 7.39/100,000, which was as high as 11.6/100,000 in 2008 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>).<br><br>

<b>Zagreb:</b> In 1984, the incidence of Crohn’s disease was estimated at 0.7/100,000 and the incidence of ulcerative colitis was estimated at 1.5/100,000 (<a href='https://academic.oup.com/ije/article-abstract/20/1/216/776967?redirectedFrom=fulltext&login=false' target='_blank'>Vucelic 1991a</a>, <a href='' target='_blank'>Vucelic 1991b</a>). In 2010, the incidence of both Crohn’s disease and ulcerative colitis had raised to 3.3/100,000 (<a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>).<br><br>

References: <a href='https://academic.oup.com/ije/article-abstract/20/1/216/776967?redirectedFrom=fulltext&login=false' target='_blank'>Vucelic 1991a</a>, <a href='academic.oup.com/ije/article-abstract/20/4/1043/839192?redirectedFrom=fulltext&login=false' target='_blank'>Vucelic 1991b</a>, <a href='https://www.bib.irb.hr/692757' target='_blank'>Jovanovic 1999</a>, <a href='' target='_blank'>Sincic 2006</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a></p>","<p style=""font-size: 125%""><b>Primorsko-Goranska:</b> In 1995, the incidence of Crohn’s disease was 2.7/100,000. By 2004, the incidence had risen to 7.2/100,000 (<a href='https://www.tandfonline.com/doi/full/10.1080/00365520500320094' target='_blank'>Sincic 2006</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).<br><br>

<b>Rijeka and Istria:</b> Over the period 1973–1994, the incidence of Crohn’s disease is estimated at 1.52/100,000. Looking exclusively at the 1990–1994 period, the incidence of Crohn’s disease is estimated at 2.92/100,000 (<a href='https://www.bib.irb.hr/692757' target='_blank'>Jovanovic 1999</a>).<br><br>

<b>Vukovarsko-Srijemska:</b> In 1991, there were no cases of Crohn’s disease. In 2010, the incidence of Crohn’s disease was 2/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).<br><br>

<b>Zadar:</b> In 2001, the incidence of Crohn’s disease was 5.5/100,000. In 2010, the incidence of Crohn’s disease was 9.27/100,000, which was as high as 15.92/100,000 in 2008. (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>).<br><br>

<b>Zagreb:</b> In 1984, the incidence of Crohn’s disease was estimated at 0.7/100,000 (<a href='https://academic.oup.com/ije/article-abstract/20/1/216/776967?redirectedFrom=fulltext&login=false' target='_blank'>Vucelic 1991a</a>, <a href='' target='_blank'>Vucelic 1991b</a>). By 2010, the incidence had risen to 3.3/100,000 (<a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>).<br><br>

References: <a href='https://academic.oup.com/ije/article-abstract/20/1/216/776967?redirectedFrom=fulltext&login=false' target='_blank'>Vucelic 1991a</a>, <a href='academic.oup.com/ije/article-abstract/20/4/1043/839192?redirectedFrom=fulltext&login=false' target='_blank'>Vucelic 1991b</a>, <a href='https://www.bib.irb.hr/692757' target='_blank'>Jovanovic 1999</a>, <a href='' target='_blank'>Sincic 2006</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a></p>","<p style=""font-size: 125%""><b>Primorsko-Goranska:</b> In 1995, the incidence of ulcerative colitis was 2.7/100,000. In 2004, the incidence had risen to 3.3/100,000 (<a href='https://www.tandfonline.com/doi/full/10.1080/00365520500320094' target='_blank'>Sincic 2006</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).<br><br>

<b>Vukovarsko-Srijemska:</b> In 1991, the incidence of ulcerative colitis was 0.5/100,000. In 2010, the incidence of ulcerative colitis was 7/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).<br><br>

<b>Zadar:</b> In 2001, the incidence of ulcerative colitis was 5.5/100,000. In 2010, the incidence of ulcerative colitis was 7.39/100,000, which was as high as 11.6/100,000 in 2008 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>).<br><br>

<b>Zagreb:</b> In 1984, the incidence of ulcerative colitis was estimated at 1.5/100,000 (<a href='https://academic.oup.com/ije/article-abstract/20/1/216/776967?redirectedFrom=fulltext&login=false' target='_blank'>Vucelic 1991a</a>, <a href='' target='_blank'>Vucelic 1991b</a>). In 2010, the incidence of ulcerative colitis had risen  to 3.3/100,000 (<a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>).<br><br>

References: <a href='https://academic.oup.com/ije/article-abstract/20/1/216/776967?redirectedFrom=fulltext&login=false' target='_blank'>Vucelic 1991a</a>, <a href='academic.oup.com/ije/article-abstract/20/4/1043/839192?redirectedFrom=fulltext&login=false' target='_blank'>Vucelic 1991b</a>, <a href='https://www.bib.irb.hr/692757' target='_blank'>Jovanovic 1999</a>, <a href='' target='_blank'>Sincic 2006</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a></p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developed</p>",0.096505863,8.758320262,12.65834892,"<p style=""font-size: 125%"">Overall incidence: 0.1<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 8.76<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 12.66<br></p>",AI,pop,,,developed,,,,
38,,Croatia,Rijeka and Istria,Rijeka and Istria,region,,45.2649,13.9112,"<p style=""font-size: 150%""><b>Rijeka and Istria</b></p>","<p style=""font-size: 125%""><b>Rijeka and Istria:</b> Over the period 1973–1994, the incidence of Crohn’s disease is estimated at 1.52/100,000. Looking exclusively at the 1990–1994 period, the incidence of Crohn’s disease is estimated at 2.92/100,000 (<a href='https://www.bib.irb.hr/692757' target='_blank'>Jovanovic 1999</a>).</p>","<p style=""font-size: 125%""><b>Rijeka and Istria:</b> Over the period 1973–1994, the incidence of Crohn’s disease is estimated at 1.52/100,000. Looking exclusively at the 1990–1994 period, the incidence of Crohn’s disease is estimated at 2.92/100,000 (<a href='https://www.bib.irb.hr/692757' target='_blank'>Jovanovic 1999</a>).</p>",,"<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developed</p>",,,,,,,AI,pop,,,developed,,,,
39,,Croatia,Primorsko-Goranska,Primorsko-Goranska,region,,45.32608585,14.44314244,"<p style=""font-size: 150%""><b>Primorsko-Goranska</b></p>","<p style=""font-size: 125%""><b>Primorsko-Goranska:</b> In 1995, the incidence of Crohn’s disease and ulcerative colitis were both 2.7/100,000. In 2004, the incidence had risen to 7.2/100,000 and 3.3/100,000 for Crohn’s disease and ulcerative colitis, respectively (<a href='https://www.tandfonline.com/doi/full/10.1080/00365520500320094' target='_blank'>Sincic 2006</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).</p>","<p style=""font-size: 125%""><b>Primorsko-Goranska:</b> In 1995, the incidence of Crohn’s disease was 2.7/100,000. In 2004, the incidence had risen to 7.2/100,000 (<a href='https://www.tandfonline.com/doi/full/10.1080/00365520500320094' target='_blank'>Sincic 2006</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).</p>","<p style=""font-size: 125%""><b>Primorsko-Goranska:</b> In 1995, the incidence of ulcerative colitis was 2.7/100,000. By 2004, the incidence had risen to 3.3/100,000 (<a href='https://www.tandfonline.com/doi/full/10.1080/00365520500320094' target='_blank'>Sincic 2006</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developed</p>",,,,,,,AI,pop,,,developed,,,,
40,,Croatia,Vukovarsko-Srijemska,Vukovarsko-Srijemska,region,,45.1938564,19.2642209,"<p style=""font-size: 150%""><b>Vukovarsko-Srijemska</b></p>","<p style=""font-size: 125%""><b>Vukovarsko-Srijemska:</b> In 1991, there were no cases of Crohn’s disease, but the incidence of ulcerative colitis was 0.5/100,000. In 2010, the incidence of Crohn’s disease was 2/100,000 and the incidence of ulcerative colitis was 7/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).</p>","<p style=""font-size: 125%""><b>Vukovarsko-Srijemska:</b> In 1991, there were no cases of Crohn’s disease. In 2010, the incidence of Crohn’s disease was 2/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).</p>","<p style=""font-size: 125%""><b>Vukovarsko-Srijemska:</b> In 1991, the incidence of ulcerative colitis was 0.5/100,000. In 2010, the incidence was 7/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developed</p>",,,,,,,AI,pop,,,developed,,,,
41,,Croatia,Zadar,Zadar County,region,,44.1168594,15.2353257,"<p style=""font-size: 150%""><b>Zadar</b></p>","<p style=""font-size: 125%""><b>Zadar:</b> In 2001, the incidence of Crohn’s disease and ulcerative colitis were both 5.5/100,000. In 2010, the incidence of Crohn’s disease was 9.27/100,000, which was as high as 15.92/100,000 in 2008. In 2010, the incidence of ulcerative colitis was 7.39/100,000, which was as high as 11.6/100,000 in 2008 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>).</p>","<p style=""font-size: 125%""><b>Zadar:</b> In 2001, the incidence of Crohn’s disease was 5.5/100,000. In 2010, the incidence was 9.27/100,000, which was as high as 15.92/100,000 in 2008 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>).</p>","<p style=""font-size: 125%""><b>Zadar:</b> In 2001, the incidence of ulcerative colitis was 5.5/100,000. In 2010, the incidence of ulcerative colitis was 7.39/100,000, which was as high as 11.6/100,000 in 2008 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developed</p>",,,,,,,AI,pop,,,developed,,,,
42,,Croatia,Zagreb,Zagreb,region,,45.8131847,15.9771774,"<p style=""font-size: 150%""><b>Zagreb</b></p>","<p style=""font-size: 125%""><b>Zagreb:</b> In 1984, the incidence of Crohn’s disease was estimated at 0.7/100,000 and the incidence of ulcerative colitis was estimated at 1.5/100,000 (<a href='https://academic.oup.com/ije/article-abstract/20/1/216/776967?redirectedFrom=fulltext&login=false' target='_blank'>Vucelic 1991a</a>, <a href='' target='_blank'>Vucelic 1991b</a>). In 2010, the incidence of both Crohn’s disease and ulcerative colitis had raised to 3.3/100,000 (<a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>).</p>","<p style=""font-size: 125%""><b>Zagreb:</b> In 1984, the incidence of Crohn’s disease was estimated at 0.7/100,000 (<a href='https://academic.oup.com/ije/article-abstract/20/1/216/776967?redirectedFrom=fulltext&login=false' target='_blank'>Vucelic 1991a</a>, <a href='' target='_blank'>Vucelic 1991b</a>). By 2010, the incidence had risen to 3.3/100,000 (<a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>).</p>","<p style=""font-size: 125%""><b>Zagreb:</b> In 1984, the incidence of ulcerative colitis was estimated at 1.5/100,000 (<a href='https://academic.oup.com/ije/article-abstract/20/1/216/776967?redirectedFrom=fulltext&login=false' target='_blank'>Vucelic 1991a</a>, <a href='' target='_blank'>Vucelic 1991b</a>). In 2010, the incidence had risen to 3.3/100,000 (<a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developed</p>",,,,,,,AI,pop,,,developed,,,,
43,No,Cyprus,Cyprus,Cyprus,country,CYP,34.9823018,33.1451285,"<p style=""font-size: 150%""><b>Cyprus</b></p>","<p style=""font-size: 125%""><b>Nicosia:</b> In 2010, the incidence of Crohn’s disease and ulcerative colitis was 6.3/100,000 and 3/100,000, respectively. In 2011, the incidence of Crohn’s disease and ulcerative colitis was 3.3/100,000, respectively (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>).</p>","<p style=""font-size: 125%""><b>Nicosia:</b> In 2010, the incidence of Crohn’s disease was 6.3/100,000. In 2011, the incidence was 3.3/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>).</p>","<p style=""font-size: 125%""><b>Nicosia:</b> In 2010, the incidence of ulcerative colitis was 3/100,000. In 2011, the incidence was 3.3/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>","<p style=""font-size: 125%"">Country status: developed</p>",6.659669391,19.29989274,12.99555191,"<p style=""font-size: 125%"">Overall incidence: 6.66<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 19.3<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 13<br></p>",CP,pop,,,developed,,,,
44,,Cyprus,Nicosia,Nicosia,municipality,,35.1748976,33.3638568,"<p style=""font-size: 150%""><b>Nicosia</b></p>","<p style=""font-size: 125%""><b>Nicosia:</b> In 2010, the incidence of Crohn’s disease and ulcerative colitis was 6.3/100,000 and 3/100,000, respectively. In 2011, the incidence of Crohn’s disease and ulcerative colitis was 3.3/100,000, respectively (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>).</p>","<p style=""font-size: 125%""><b>Nicosia:</b> In 2010, the incidence of Crohn’s disease was 6.3/100,000. In 2011, the incidence was 3.3/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>).</p>","<p style=""font-size: 125%""><b>Nicosia:</b> In 2010, the incidence of ulcerative colitis was 3/100,000. In 2011, the incidence was 3.3/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=false' target='_blank'>Vegh 2014</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: compounding prevalence</p>","<p style=""font-size: 125%"">Country status: developed</p>",,,,,,,CP,pop,,,developed,,,,
45,No,Czech Republic,Czech Republic,Czech Rep.,country,CZE,49.8167003,15.4749544,"<p style=""font-size: 150%""><b>Czech Republic</b></p>","<p style=""font-size: 125%""><b>North Bohemia:</b> In 1978, the incidence of ulcerative colitis was 1.3/100,000 (Bitter 1980(Ulcerozni Kolitida V Severoceskem Kraji)).<br><br>

<b>Prague:</b> In 2010, the incidence of Crohn’s disease and ulcerative colitis was 5.6/100,000 and 5.8/100,000, respectively. In 2011, the incidence of Crohn’s disease and ulcerative colitis was 5.5/100,000 and 5/100,000, respectively (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=true' target='_blank'>Vegh 2014</a>).<br><br>

<b>South Bohemia:</b> In 2010, the incidence of both Crohn’s disease and ulcerative colitis was 3.9/100,000 (<a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>).</p>","<p style=""font-size: 125%""><b>Prague:</b> In 2010, the incidence of Crohn’s disease was 5.6/100,000. In 2011, the incidence of Crohn’s disease was 5.5/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=true' target='_blank'>Vegh 2014</a>).<br><br>

<b>South Bohemia:</b> In 2010, the incidence of Crohn’s disease was 3.9/100,000 (<a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>).</p>","<p style=""font-size: 125%""><b>North Bohemia:</b> In 1978, the incidence of ulcerative colitis was 1.3/100,000 (Bitter 1980(Ulcerozni Kolitida V Severoceskem Kraji)).<br><br>

<b>Prague:</b> In 2010, the incidence of ulcerative colitis was 5.8/100,000. In 2011, the incidence was 5/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=true' target='_blank'>Vegh 2014</a>).<br><br>

<b>South Bohemia:</b> In 2010, the incidence of ulcerative colitis was 3.9/100,000 (<a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>","<p style=""font-size: 125%"">Country status: developed</p>",12.16022162,9.413235168,16.41829175,"<p style=""font-size: 125%"">Overall incidence: 12.16<br></p>","<p style=""font-size: 125%"">Incidence of Crohn's Disease: 9.41<br></p>","<p style=""font-size: 125%"">Incidence of Ulcerative Colitis: 16.42<br></p>",E,pop,,,developed,,,,
46,,Czech Republic,North Bohemia,North Bohemia,region,,50.6717,14.2289,"<p style=""font-size: 150%""><b>North Bohemia</b></p>","<p style=""font-size: 125%""><b>North Bohemia:</b> In 1978, the incidence of ulcerative colitis was 1.3/100,000 (Bitter 1980(Ulcerozni Kolitida V Severoceskem Kraji)).</p>",,"<p style=""font-size: 125%""><b>North Bohemia:</b> In 1978, the incidence of ulcerative colitis was 1.3/100,000 (Bitter 1980(Ulcerozni Kolitida V Severoceskem Kraji)).</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>","<p style=""font-size: 125%"">Country status: developed</p>",,,,,,,E,pop,,,developed,,,,
47,,Czech Republic,South Bohemia,South Bohemia,region,,48.9458,14.4416,"<p style=""font-size: 150%""><b>South Bohemia</b></p>","<p style=""font-size: 125%""><b>South Bohemia:</b> In 2010, the incidence of both Crohn’s disease and ulcerative colitis was 3.9/100,000 (<a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>).</p>","<p style=""font-size: 125%""><b>South Bohemia:</b> In 2010, the incidence of Crohn’s disease was 3.9/100,000 (<a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>).</p>","<p style=""font-size: 125%""><b>South Bohemia:</b> In 2010, the incidence of ulcerative colitis was 3.9/100,000 (<a href='https://gut.bmj.com/content/63/4/588' target='_blank'>Burisch 2014</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>","<p style=""font-size: 125%"">Country status: developed</p>",,,,,,,E,pop,,,developed,,,,
48,,Czech Republic,Prague,Prague,municipality,,50.0596288,14.44645927,"<p style=""font-size: 150%""><b>Prague</b></p>","<p style=""font-size: 125%""><b>Prague:</b> In 2010, the incidence of Crohn’s disease and ulcerative colitis was 5.6/100,000 and 5.8/100,000, respectively. In 2011, the incidence of Crohn’s disease and ulcerative colitis was 5.5/100,000 and 5/100,000, respectively (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=true' target='_blank'>Vegh 2014</a>).</p>","<p style=""font-size: 125%""><b>Prague:</b> In 2010, the incidence of Crohn’s disease was 5.6/100,000. In 2011, the incidence was 5.5/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=true' target='_blank'>Vegh 2014</a>).</p>","<p style=""font-size: 125%""><b>Prague:</b> In 2010, the incidence of ulcerative colitis was 5.8/100,000. In 2011, the incidence was 5/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/8/11/1506/357882?login=true' target='_blank'>Vegh 2014</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>","<p style=""font-size: 125%"">Country status: developed</p>",,,,,,,E,pop,,,developed,,,,
