year,disease_type,data_type,name,forecast,rate,lb,ub
2021,UC,Incidence,Canada,1,16.89999962,16.20000076,17.60000038
2022,UC,Incidence,Canada,1,17.00000000,16.29999924,17.79999924
2023,UC,Incidence,Canada,1,17.20000076,16.39999962,18.10000038
2024,UC,Incidence,Canada,1,17.39999962,16.50000000,18.29999924
2025,UC,Incidence,Canada,1,17.60000038,16.60000038,18.50000000
2026,UC,Incidence,Canada,1,17.70000076,16.70000076,18.79999924
2027,UC,Incidence,Canada,1,17.89999962,16.89999962,19.00000000
2028,UC,Incidence,Canada,1,18.10000038,17.00000000,19.20000076
2029,UC,Incidence,Canada,1,18.29999924,17.10000038,19.50000000
2030,UC,Incidence,Canada,1,18.39999962,17.20000076,19.70000076
2031,UC,Incidence,Canada,1,18.60000038,17.29999924,19.89999962
2032,UC,Incidence,Canada,1,18.79999924,17.39999962,20.20000076
2033,UC,Incidence,Canada,1,19.00000000,17.50000000,20.39999962
2034,UC,Incidence,Canada,1,19.10000038,17.60000038,20.60000038
2035,UC,Incidence,Canada,1,19.29999924,17.79999924,20.89999962
2002,IBD,Prevalence,Canada,0,396.29998779,394.10000610,398.60000610
2003,IBD,Prevalence,Canada,0,422.20001221,419.89999390,424.50000000
2004,IBD,Prevalence,Canada,0,445.20001221,442.79998779,447.50000000
2005,IBD,Prevalence,Canada,0,468.50000000,466.10000610,470.89999390
2006,IBD,Prevalence,Canada,0,490.29998779,487.79998779,492.70001221
2007,IBD,Prevalence,Canada,0,510.89999390,508.39999390,513.29998779
2008,IBD,Prevalence,Canada,0,531.79998779,529.20001221,534.29998779
2009,IBD,Prevalence,Canada,0,552.70001221,550.09997559,555.20001221
2010,IBD,Prevalence,Canada,0,572.59997559,570.09997559,575.20001221
2011,IBD,Prevalence,Canada,0,594.00000000,591.40002441,596.59997559
2012,IBD,Prevalence,Canada,0,612.09997559,609.50000000,614.79998779
2013,IBD,Prevalence,Canada,0,631.59997559,628.90002441,634.29998779
2014,IBD,Prevalence,Canada,0,650.59997559,648.00000000,653.29998779
2015,IBD,Prevalence,Canada,1,672.20001221,670.00000000,674.40002441
2016,IBD,Prevalence,Canada,1,693.70001221,689.40002441,698.00000000
2017,IBD,Prevalence,Canada,1,715.09997559,708.90002441,721.29998779
2018,IBD,Prevalence,Canada,1,736.50000000,728.59997559,744.50000000
2019,IBD,Prevalence,Canada,1,757.90002441,748.29998779,767.50000000
2020,IBD,Prevalence,Canada,1,779.20001221,768.00000000,790.40002441
2021,IBD,Prevalence,Canada,1,800.59997559,787.90002441,813.29998779
2022,IBD,Prevalence,Canada,1,821.90002441,807.70001221,836.00000000
2023,IBD,Prevalence,Canada,1,843.09997559,827.59997559,858.59997559
2024,IBD,Prevalence,Canada,1,864.40002441,847.59997559,881.20001221
2025,IBD,Prevalence,Canada,1,885.59997559,867.50000000,903.70001221
2026,IBD,Prevalence,Canada,1,906.90002441,887.50000000,926.20001221
2027,IBD,Prevalence,Canada,1,928.09997559,907.59997559,948.70001221
2028,IBD,Prevalence,Canada,1,949.29998779,927.59997559,971.09997559
2029,IBD,Prevalence,Canada,1,970.50000000,947.59997559,993.40002441
2030,IBD,Prevalence,Canada,1,991.70001221,967.70001221,1015.79998779
2031,IBD,Prevalence,Canada,1,1012.90002441,987.70001221,1038.09997559
2032,IBD,Prevalence,Canada,1,1034.09997559,1007.79998779,1060.50000000
2033,IBD,Prevalence,Canada,1,1055.30004883,1027.90002441,1082.80004883
2034,IBD,Prevalence,Canada,1,1076.50000000,1048.00000000,1105.09997559
2035,IBD,Prevalence,Canada,1,1097.69995117,1068.00000000,1127.30004883
2002,CD,Prevalence,Canada,0,209.80000305,208.19999695,211.39999390
2003,CD,Prevalence,Canada,0,222.60000610,220.89999390,224.30000305
2004,CD,Prevalence,Canada,0,234.19999695,232.50000000,235.89999390
2005,CD,Prevalence,Canada,0,245.60000610,243.89999390,247.39999390
2006,CD,Prevalence,Canada,0,256.20001221,254.39999390,258.00000000
2007,CD,Prevalence,Canada,0,266.39999390,264.70001221,268.20001221
2008,CD,Prevalence,Canada,0,276.50000000,274.70001221,278.29998779
2009,CD,Prevalence,Canada,0,286.50000000,284.60000610,288.29998779
2010,CD,Prevalence,Canada,0,295.60000610,293.70001221,297.39999390
2011,CD,Prevalence,Canada,0,305.70001221,303.79998779,307.60000610
2012,CD,Prevalence,Canada,0,313.89999390,312.00000000,315.79998779
2013,CD,Prevalence,Canada,0,322.39999390,320.50000000,324.29998779
2014,CD,Prevalence,Canada,0,331.00000000,329.00000000,332.89999390
2015,CD,Prevalence,Canada,1,340.70001221,339.39999390,342.10000610
2016,CD,Prevalence,Canada,1,351.10000610,348.00000000,354.29998779
2017,CD,Prevalence,Canada,1,361.50000000,356.79998779,366.20001221
2018,CD,Prevalence,Canada,1,371.89999390,365.70001221,378.00000000
2019,CD,Prevalence,Canada,1,382.20001221,374.79998779,389.60000610
2020,CD,Prevalence,Canada,1,392.39999390,383.89999390,401.00000000
2021,CD,Prevalence,Canada,1,402.70001221,393.10000610,412.29998779
2022,CD,Prevalence,Canada,1,412.89999390,402.29998779,423.50000000
2023,CD,Prevalence,Canada,1,423.10000610,411.60000610,434.60000610
2024,CD,Prevalence,Canada,1,433.29998779,421.00000000,445.70001221
2025,CD,Prevalence,Canada,1,443.50000000,430.29998779,456.79998779
2026,CD,Prevalence,Canada,1,453.70001221,439.70001221,467.70001221
2027,CD,Prevalence,Canada,1,463.89999390,449.10000610,478.70001221
2028,CD,Prevalence,Canada,1,474.10000610,458.50000000,489.60000610
2029,CD,Prevalence,Canada,1,484.20001221,467.89999390,500.60000610
2030,CD,Prevalence,Canada,1,494.39999390,477.29998779,511.50000000
2031,CD,Prevalence,Canada,1,504.50000000,486.70001221,522.40002441
2032,CD,Prevalence,Canada,1,514.59997559,496.00000000,533.20001221
2033,CD,Prevalence,Canada,1,524.79998779,505.39999390,544.09997559
2034,CD,Prevalence,Canada,1,534.90002441,514.79998779,555.00000000
2035,CD,Prevalence,Canada,1,545.09997559,524.20001221,565.90002441
2002,UC,Prevalence,Canada,0,186.60000610,185.00000000,188.10000610
2003,UC,Prevalence,Canada,0,199.60000610,198.00000000,201.19999695
2004,UC,Prevalence,Canada,0,211.00000000,209.30000305,212.60000610
2005,UC,Prevalence,Canada,0,222.89999390,221.19999695,224.50000000
2006,UC,Prevalence,Canada,0,234.10000610,232.39999390,235.80000305
2007,UC,Prevalence,Canada,0,244.39999390,242.69999695,246.10000610
2008,UC,Prevalence,Canada,0,255.30000305,253.50000000,257.00000000
2009,UC,Prevalence,Canada,0,266.20001221,264.39999390,268.00000000
2010,UC,Prevalence,Canada,0,277.10000610,275.29998779,278.89999390
2011,UC,Prevalence,Canada,0,288.29998779,286.50000000,290.10000610
2012,UC,Prevalence,Canada,0,298.29998779,296.39999390,300.10000610
2013,UC,Prevalence,Canada,0,309.20001221,307.29998779,311.10000610
2014,UC,Prevalence,Canada,0,319.70001221,317.79998779,321.60000610
2015,UC,Prevalence,Canada,1,331.00000000,329.89999390,332.00000000
2016,UC,Prevalence,Canada,1,342.20001221,340.20001221,344.20001221
2017,UC,Prevalence,Canada,1,353.39999390,350.70001221,356.10000610
2018,UC,Prevalence,Canada,1,364.50000000,361.20001221,367.89999390
2019,UC,Prevalence,Canada,1,375.70001221,371.70001221,379.60000610
2020,UC,Prevalence,Canada,1,386.79998779,382.29998779,391.29998779
2021,UC,Prevalence,Canada,1,397.89999390,392.89999390,402.89999390
2022,UC,Prevalence,Canada,1,409.00000000,403.60000610,414.39999390
2023,UC,Prevalence,Canada,1,420.10000610,414.20001221,425.89999390
2024,UC,Prevalence,Canada,1,431.20001221,424.89999390,437.39999390
2025,UC,Prevalence,Canada,1,442.20001221,435.60000610,448.89999390
2026,UC,Prevalence,Canada,1,453.29998779,446.29998779,460.29998779
2027,UC,Prevalence,Canada,1,464.39999390,457.00000000,471.79998779
2028,UC,Prevalence,Canada,1,475.50000000,467.70001221,483.20001221
2029,UC,Prevalence,Canada,1,486.50000000,478.39999390,494.60000610
2030,UC,Prevalence,Canada,1,497.60000610,489.10000610,506.10000610
2031,UC,Prevalence,Canada,1,508.60000610,499.79998779,517.50000000
2032,UC,Prevalence,Canada,1,519.70001221,510.50000000,528.90002441
2033,UC,Prevalence,Canada,1,530.79998779,521.20001221,540.29998779
2034,UC,Prevalence,Canada,1,541.79998779,532.00000000,551.70001221
2035,UC,Prevalence,Canada,1,552.90002441,542.70001221,563.09997559
