HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,ZONE_CODE,ZONE_NAME,FY,INC_RT,lower95,upper95
HSA1.5.C,LETHBRIDGE - SOUTH,Lethbridge - South,Z1,SOUTH,2017,23.8,7.3,40.4
HSA1.5.C,LETHBRIDGE - SOUTH,Lethbridge - South,Z1,SOUTH,2019,29.3,11.1,47.5
HSA1.5.C,LETHBRIDGE - SOUTH,Lethbridge - South,Z1,SOUTH,2018,20.7,5.4,36
HSA1.5.C,LETHBRIDGE - SOUTH,Lethbridge - South,Z1,SOUTH,All,27.8,19.8,35.7
HSA1.5.C,LETHBRIDGE - SOUTH,Lethbridge - South,Z1,SOUTH,2020,34.9,15.1,54.6
HSA2.1.A,CALGARY - UPPER NW,Calgary - Upper NW,Z2,CALGARY,2019,34.9,24.4,45.5
HSA2.1.A,CALGARY - UPPER NW,Calgary - Upper NW,Z2,CALGARY,2017,29.9,20,39.8
HSA2.1.A,CALGARY - UPPER NW,Calgary - Upper NW,Z2,CALGARY,2016,41.6,29.8,53.3
HSA2.1.A,CALGARY - UPPER NW,Calgary - Upper NW,Z2,CALGARY,2020,37.7,26.8,48.6
HSA2.1.A,CALGARY - UPPER NW,Calgary - Upper NW,Z2,CALGARY,2018,28.7,19,38.3
HSA2.1.A,CALGARY - UPPER NW,Calgary - Upper NW,Z2,CALGARY,All,34.6,29.8,39.3
HSA2.1.B,CALGARY - NORTH,Calgary - North,Z2,CALGARY,2018,31.2,20.8,41.5
HSA2.1.B,CALGARY - NORTH,Calgary - North,Z2,CALGARY,2017,30.8,20.5,41.2
HSA2.1.B,CALGARY - NORTH,Calgary - North,Z2,CALGARY,All,36.5,31.5,41.5
HSA2.1.B,CALGARY - NORTH,Calgary - North,Z2,CALGARY,2019,46.3,33.8,58.8
HSA2.1.B,CALGARY - NORTH,Calgary - North,Z2,CALGARY,2016,29.5,19.3,39.7
HSA2.1.B,CALGARY - NORTH,Calgary - North,Z2,CALGARY,2020,43.7,31.7,55.7
HSA2.1.C,CALGARY - NOSE HILL,Calgary - Nose Hill,Z2,CALGARY,2017,32.1,19.5,44.7
HSA2.1.C,CALGARY - NOSE HILL,Calgary - Nose Hill,Z2,CALGARY,2018,30.6,18.3,42.8
HSA2.1.C,CALGARY - NOSE HILL,Calgary - Nose Hill,Z2,CALGARY,2016,29.6,17.5,41.7
HSA2.1.C,CALGARY - NOSE HILL,Calgary - Nose Hill,Z2,CALGARY,All,30,24.6,35.4
HSA2.1.C,CALGARY - NOSE HILL,Calgary - Nose Hill,Z2,CALGARY,2020,31.2,19,43.4
HSA2.1.C,CALGARY - NOSE HILL,Calgary - Nose Hill,Z2,CALGARY,2019,26.5,15.2,37.8
HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,2016,33.5,19.1,47.8
HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,All,34.9,28.4,41.5
HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,2019,28.5,15.3,41.7
HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,2018,33.5,19.1,47.8
HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,2020,40.9,25.2,56.6
HSA2.1.D,CALGARY - LOWER NW,Calgary - Lower NW,Z2,CALGARY,2017,38.3,23,53.7
HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,All,36.4,29.9,42.9
HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2017,44.5,28.3,60.7
HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2016,34,19.8,48.3
HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2020,48,31.6,64.3
HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2019,35.5,21.3,49.8
HSA2.1.EF,CALGARY - CENTRE NORTH/WEST BOW,Calgary - Centre North/West BOW,Z2,CALGARY,2018,19.6,9,30.3
HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2017,46.7,33.5,59.9
HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2018,53,39.1,66.9
HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2019,44.3,31.8,56.9
HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,All,52.9,46.7,59.1
HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2016,49.2,35.4,63
HSA2.2.A,CALGARY - UPPER NE,Calgary - Upper NE,Z2,CALGARY,2020,70.4,54.8,86
HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2017,22.6,13.2,32.1
HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2020,38.2,26,50.3
HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2019,28.4,17.9,38.9
HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2018,21.5,12.3,30.6
HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,All,28.5,23.8,33.3
HSA2.2.B,CALGARY - LOWER NE,Calgary - Lower NE,Z2,CALGARY,2016,31.9,20.7,43.1
HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,All,25.7,20.6,30.9
HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2018,30.6,18.1,43.2
HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2016,23.9,12.9,35
HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2020,26.2,14.7,37.7
HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2019,25.1,13.8,36.4
HSA2.3.A,CALGARY - EAST,Calgary - East,Z2,CALGARY,2017,22.7,11.9,33.5
HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2017,49.6,37,62.1
HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2020,61.7,48.4,75
HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2019,43,31.7,54.2
HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2016,40,28.4,51.6
HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,2018,38.9,28,49.8
HSA2.3.B,CALGARY - SE,Calgary - SE,Z2,CALGARY,All,46.9,41.5,52.3
HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2020,52.6,38,67.2
HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2019,49.2,35,63.5
HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2018,40.3,27.3,53.3
HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2017,34.3,22.2,46.4
HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,All,41.7,35.8,47.6
HSA2.4.A,CALGARY - WEST,Calgary - West,Z2,CALGARY,2016,31.3,19.7,42.9
HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2020,28.7,15.8,41.6
HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,All,27.1,21.4,32.7
HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2019,30.6,17.2,44.1
HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2018,28,15,40.9
HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2016,30.5,16.8,44.2
HSA2.4.B,CALGARY - CENTRE,Calgary - Centre,Z2,CALGARY,2017,17.3,7.1,27.6
HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2016,42,26.2,57.9
HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2017,27.7,14.9,40.5
HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2018,27.4,14.7,40
HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,All,41,34.1,47.9
HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2020,63.6,44.6,82.6
HSA2.4.C,CALGARY - CENTRE WEST,Calgary - Centre West,Z2,CALGARY,2019,43.5,27.7,59.3
HSA2.4.D,CALGARY - ELBOW,Calgary - Elbow,Z2,CALGARY,2019,45.5,25,65.9
HSA2.4.D,CALGARY - ELBOW,Calgary - Elbow,Z2,CALGARY,2017,56.1,33.2,79
HSA2.4.D,CALGARY - ELBOW,Calgary - Elbow,Z2,CALGARY,2020,35.4,17.5,53.4
HSA2.4.D,CALGARY - ELBOW,Calgary - Elbow,Z2,CALGARY,All,41.4,32.7,50.2
HSA2.4.D,CALGARY - ELBOW,Calgary - Elbow,Z2,CALGARY,2018,36.3,17.9,54.7
HSA2.4.D,CALGARY - ELBOW,Calgary - Elbow,Z2,CALGARY,2016,34.1,16.2,52
HSA2.4.E,CALGARY - FISH CREEK,Calgary - Fish Creek,Z2,CALGARY,All,35.4,30.5,40.3
HSA2.4.E,CALGARY - FISH CREEK,Calgary - Fish Creek,Z2,CALGARY,2019,42.7,30.7,54.6
HSA2.4.E,CALGARY - FISH CREEK,Calgary - Fish Creek,Z2,CALGARY,2018,31.5,21.2,41.8
HSA2.4.E,CALGARY - FISH CREEK,Calgary - Fish Creek,Z2,CALGARY,2016,29.6,19.6,39.5
HSA2.4.E,CALGARY - FISH CREEK,Calgary - Fish Creek,Z2,CALGARY,2020,39,27.6,50.4
HSA2.4.E,CALGARY - FISH CREEK,Calgary - Fish Creek,Z2,CALGARY,2017,34.2,23.4,44.9
HSA2.4.F,CALGARY - SW,Calgary - SW,Z2,CALGARY,All,36.4,31.4,41.4
HSA2.4.F,CALGARY - SW,Calgary - SW,Z2,CALGARY,2020,39.5,28.1,50.9
HSA2.4.F,CALGARY - SW,Calgary - SW,Z2,CALGARY,2019,39.3,27.8,50.8
HSA2.4.F,CALGARY - SW,Calgary - SW,Z2,CALGARY,2018,34.7,23.8,45.6
HSA2.4.F,CALGARY - SW,Calgary - SW,Z2,CALGARY,2017,32.5,21.9,43.1
HSA2.4.F,CALGARY - SW,Calgary - SW,Z2,CALGARY,2016,35.6,24.4,46.8
HSA2.5.A,CALGARY RURAL - OKOTOKS/PRIDDIS,Calgary Rural - Okotoks/Priddis,Z2,CALGARY,All,40.9,32.5,49.3
HSA2.5.A,CALGARY RURAL - OKOTOKS/PRIDDIS,Calgary Rural - Okotoks/Priddis,Z2,CALGARY,2020,60,37.7,82.2
HSA2.5.A,CALGARY RURAL - OKOTOKS/PRIDDIS,Calgary Rural - Okotoks/Priddis,Z2,CALGARY,2019,46,26.3,65.7
HSA2.5.A,CALGARY RURAL - OKOTOKS/PRIDDIS,Calgary Rural - Okotoks/Priddis,Z2,CALGARY,2017,27.6,12,43.2
HSA2.5.A,CALGARY RURAL - OKOTOKS/PRIDDIS,Calgary Rural - Okotoks/Priddis,Z2,CALGARY,2018,38,20,56.1
HSA2.5.A,CALGARY RURAL - OKOTOKS/PRIDDIS,Calgary Rural - Okotoks/Priddis,Z2,CALGARY,2016,31,14.1,47.8
HSA2.5.BC,CALGARY RURAL - CENTRAL/SOUTH,Calgary Rural - Central/South,Z2,CALGARY,All,29.3,22.3,36.4
HSA2.5.BC,CALGARY RURAL - CENTRAL/SOUTH,Calgary Rural - Central/South,Z2,CALGARY,2019,34.7,17.7,51.8
HSA2.5.BC,CALGARY RURAL - CENTRAL/SOUTH,Calgary Rural - Central/South,Z2,CALGARY,2020,28,12.8,43.2
HSA2.5.BC,CALGARY RURAL - CENTRAL/SOUTH,Calgary Rural - Central/South,Z2,CALGARY,2018,28.5,13,44
HSA2.5.BC,CALGARY RURAL - CENTRAL/SOUTH,Calgary Rural - Central/South,Z2,CALGARY,2017,19.9,6.9,32.8
HSA2.5.BC,CALGARY RURAL - CENTRAL/SOUTH,Calgary Rural - Central/South,Z2,CALGARY,2016,35.6,18.2,53.1
HSA2.6.AB,CALGARY RURAL - AIRDRIE/CHESTERMERE,Calgary Rural - Airdrie/Chestermere,Z2,CALGARY,All,39.5,33.7,45.2
HSA2.6.AB,CALGARY RURAL - AIRDRIE/CHESTERMERE,Calgary Rural - Airdrie/Chestermere,Z2,CALGARY,2020,48.6,34.9,62.4
HSA2.6.AB,CALGARY RURAL - AIRDRIE/CHESTERMERE,Calgary Rural - Airdrie/Chestermere,Z2,CALGARY,2019,41.8,28.8,54.7
HSA2.6.AB,CALGARY RURAL - AIRDRIE/CHESTERMERE,Calgary Rural - Airdrie/Chestermere,Z2,CALGARY,2018,28.1,17.3,38.9
HSA2.6.AB,CALGARY RURAL - AIRDRIE/CHESTERMERE,Calgary Rural - Airdrie/Chestermere,Z2,CALGARY,2017,49.3,34.8,63.9
HSA2.6.AB,CALGARY RURAL - AIRDRIE/CHESTERMERE,Calgary Rural - Airdrie/Chestermere,Z2,CALGARY,2016,28.3,17,39.6
HSA2.6.C,CALGARY RURAL - NORTH,Calgary Rural - North,Z2,CALGARY,All,47.9,40,55.8
HSA2.6.C,CALGARY RURAL - NORTH,Calgary Rural - North,Z2,CALGARY,2020,49.8,32,67.6
HSA2.6.C,CALGARY RURAL - NORTH,Calgary Rural - North,Z2,CALGARY,2019,43.7,26.9,60.5
HSA2.6.C,CALGARY RURAL - NORTH,Calgary Rural - North,Z2,CALGARY,2018,40.8,24.5,57.1
HSA2.6.C,CALGARY RURAL - NORTH,Calgary Rural - North,Z2,CALGARY,2017,51.5,33.1,70
HSA2.6.C,CALGARY RURAL - NORTH,Calgary Rural - North,Z2,CALGARY,2016,53.8,34.9,72.8
HSA2.7.A,CALGARY RURAL - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,All,54.4,44.9,63.8
HSA2.7.A,CALGARY RURAL - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2019,49.8,29.9,69.7
HSA2.7.A,CALGARY RURAL - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2018,55.4,34.1,76.7
HSA2.7.A,CALGARY RURAL - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2017,46.2,26.4,65.9
HSA2.7.A,CALGARY RURAL - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2016,55.1,33,77.1
HSA2.7.A,CALGARY RURAL - COCHRANE/SPRINGBANK,Calgary Rural - Cochrane/Springbank,Z2,CALGARY,2020,64.7,42.3,87.1
HSA2.7.B,CALGARY RURAL - WEST,Calgary Rural - West,Z2,CALGARY,2019,39.6,20.2,59
HSA2.7.B,CALGARY RURAL - WEST,Calgary Rural - West,Z2,CALGARY,All,34.1,26,42.2
HSA2.7.B,CALGARY RURAL - WEST,Calgary Rural - West,Z2,CALGARY,2020,31.9,14.6,49.3
HSA2.7.B,CALGARY RURAL - WEST,Calgary Rural - West,Z2,CALGARY,2018,34.9,16.6,53.2
HSA2.7.B,CALGARY RURAL - WEST,Calgary Rural - West,Z2,CALGARY,2017,45.4,24.4,66.4
HSA2.7.B,CALGARY RURAL - WEST,Calgary Rural - West,Z2,CALGARY,2016,18.2,4.7,31.7
HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,All,22.8,16.2,29.5
HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2020,17.8,4.6,31
HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2019,22.9,7.9,37.8
HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2018,25.4,9.7,41.2
HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2017,25.4,9.6,41.1
HSA3.1,ROCKY MOUNTAIN HOUSE/DRAYTON VALLEY,Rocky Mountain House/Drayton Valley,Z3,CENTRAL,2016,22.7,7.9,37.5
HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2020,37.5,24.3,50.7
HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2019,28.1,16.6,39.6
HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2018,28.4,16.8,40
HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2017,17.6,8.4,26.8
HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,2016,25.7,14.5,37
HSA3.2,CENTRAL ZONE - CENTRAL/SOUTH,Central Zone - Central/South,Z3,CENTRAL,All,27.6,22.4,32.7
HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2020,42.4,23.4,61.5
HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2019,24.4,10,38.9
HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2018,26.6,11.5,41.6
HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2017,24.2,9.9,38.5
HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,2016,39.4,21.2,57.5
HSA3.3,CENTRAL ZONE - SE,Central Zone - SE,Z3,CENTRAL,All,31.4,24.1,38.7
HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2020,28.8,17,40.5
HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2019,28.9,17.1,40.7
HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2018,31.5,19.1,43.8
HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2017,25.2,14.2,36.3
HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,2016,36.5,23.2,49.8
HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,Z3,CENTRAL,All,30.2,24.8,35.6
HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2018,37.7,22.9,52.5
HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2019,30.1,16.9,43.3
HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2017,27.2,14.6,39.8
HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2016,16.6,6.8,26.4
HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,2020,48,31.4,64.7
HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,Z3,CENTRAL,All,32,25.9,38
HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2020,44.2,27.5,60.8
HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2019,38,22.5,53.5
HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2018,26.7,13.6,39.8
HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2017,33.6,18.9,48.3
HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,2016,33.6,18.9,48.3
HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,Z3,CENTRAL,All,35.3,28.5,42
HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2019,29.6,12.1,47.1
HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2018,21.7,6.7,36.8
HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2017,29.9,12.2,47.6
HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2016,26.7,10.1,43.2
HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,2020,42.6,21.7,63.5
HSA3.7.A,RED DEER - NORTH,Red Deer - North,Z3,CENTRAL,All,30.1,22.3,38
HSA3.7.BC,RED DEER - EAST/SW,Red Deer - East/SW,Z3,CENTRAL,2020,27.6,15.5,39.6
HSA3.7.BC,RED DEER - EAST/SW,Red Deer - East/SW,Z3,CENTRAL,2018,28.3,15.9,40.7
HSA3.7.BC,RED DEER - EAST/SW,Red Deer - East/SW,Z3,CENTRAL,2017,30,17.2,42.8
HSA3.7.BC,RED DEER - EAST/SW,Red Deer - East/SW,Z3,CENTRAL,2016,40,25.2,54.9
HSA3.7.BC,RED DEER - EAST/SW,Red Deer - East/SW,Z3,CENTRAL,2019,19.6,9.3,29.8
HSA3.7.BC,RED DEER - EAST/SW,Red Deer - East/SW,Z3,CENTRAL,All,29,23.4,34.6
HSA4.1.A,EDMONTON - WOODCROFT EAST,Edmonton - Woodcroft East,Z4,EDMONTON,2020,19.1,8.3,29.9
HSA4.1.A,EDMONTON - WOODCROFT EAST,Edmonton - Woodcroft East,Z4,EDMONTON,2019,22.5,10.7,34.3
HSA4.1.A,EDMONTON - WOODCROFT EAST,Edmonton - Woodcroft East,Z4,EDMONTON,2018,22.8,10.8,34.7
HSA4.1.A,EDMONTON - WOODCROFT EAST,Edmonton - Woodcroft East,Z4,EDMONTON,2017,23,10.9,35
HSA4.1.A,EDMONTON - WOODCROFT EAST,Edmonton - Woodcroft East,Z4,EDMONTON,2016,21.3,9.7,33
HSA4.1.A,EDMONTON - WOODCROFT EAST,Edmonton - Woodcroft East,Z4,EDMONTON,All,21.7,16.5,26.9
HSA4.1.B,EDMONTON - WOODCROFT WEST,Edmonton - Woodcroft West,Z4,EDMONTON,2020,39.7,18.1,61.2
HSA4.1.B,EDMONTON - WOODCROFT WEST,Edmonton - Woodcroft West,Z4,EDMONTON,2019,27.7,9.6,45.8
HSA4.1.B,EDMONTON - WOODCROFT WEST,Edmonton - Woodcroft West,Z4,EDMONTON,2018,24.9,7.6,42.1
HSA4.1.B,EDMONTON - WOODCROFT WEST,Edmonton - Woodcroft West,Z4,EDMONTON,2017,40.7,18.6,62.8
HSA4.1.B,EDMONTON - WOODCROFT WEST,Edmonton - Woodcroft West,Z4,EDMONTON,2016,25.3,7.8,42.9
HSA4.1.B,EDMONTON - WOODCROFT WEST,Edmonton - Woodcroft West,Z4,EDMONTON,All,31.7,23,40.4
HSA4.1.C,EDMONTON - JASPER PLACE,Edmonton - Jasper Place,Z4,EDMONTON,2016,31.6,15.6,47.5
HSA4.1.C,EDMONTON - JASPER PLACE,Edmonton - Jasper Place,Z4,EDMONTON,All,25.6,19.3,32
