INDEX,HSA_CODE,HSA_NAME,HSA_NAME_FORMATTED,TESTING_RATE,INCIDENCE_RATE,POSITIVE_PROP,POSITIVE_PERC,ZONE_NAME,ZONE_CODE,Notes
32,HSA3.4,WETASKIWIN/PONOKA/LACOMBE,Wetaskiwin/Ponoka/Lacombe,23.95540794,31.42764476,0.024745581,2.474558115,CENTRAL,Z3,
33,HSA3.5,CENTRAL ZONE - EAST,Central Zone - East,27.11756069,33.46730305,0.027207044,2.720704448,CENTRAL,Z3,
34,HSA3.6,CENTRAL ZONE - NE,Central Zone - NE,37.17584618,38.57588475,0.021630917,2.163091683,CENTRAL,Z3,
35,HSA3.7.A,RED DEER - NORTH,Red Deer - North,23.44973864,31.22325163,0.029634898,2.963489806,CENTRAL,Z3,
36,HSA3.7.BC,RED DEER - EAST/SW,Red Deer - East/SW,25.40844054,30.72465075,0.025614754,2.56147541,CENTRAL,Z3,
37,HSA4.1.A,EDMONTON - WOODCROFT EAST,Edmonton - Woodcroft East,32.69921779,22.70103387,0.016998342,1.699834163,EDMONTON,Z4,
38,HSA4.1.B,EDMONTON - WOODCROFT WEST,Edmonton - Woodcroft West,36.04544212,34.80249584,0.022475983,2.247598332,EDMONTON,Z4,
39,HSA4.1.C,EDMONTON - JASPER PLACE,Edmonton - Jasper Place,32.33984128,26.88094224,0.018528392,1.852839243,EDMONTON,Z4,
40,HSA4.1.D,EDMONTON - WEST JASPER PLACE,Edmonton - West Jasper Place,34.77733595,35.47445015,0.022871586,2.287158622,EDMONTON,Z4,
41,HSA4.2.A,EDMONTON - CASTLE DOWNS,Edmonton - Castle Downs,36.32339577,35.47034855,0.020938446,2.093844601,EDMONTON,Z4,
42,HSA4.2.B,EDMONTON - NORTHGATE,Edmonton - Northgate,36.37299958,33.43689823,0.021289875,2.128987517,EDMONTON,Z4,
43,HSA4.2.C,EDMONTON - EASTWOOD,Edmonton - Eastwood,31.27560776,24.10141877,0.016314091,1.631409107,EDMONTON,Z4,
44,HSA4.2.DE,EDMONTON - ABBOTTSFIELD/NE,Edmonton - Abbottsfield/NE,35.64115347,37.93513687,0.022866029,2.286602926,EDMONTON,Z4,
45,HSA4.3.A,EDMONTON - BONNIE DOON,Edmonton - Bonnie Doon,34.50552576,36.9738339,0.024162548,2.416254805,EDMONTON,Z4,
46,HSA4.3.B,EDMONTON - MILL WOODS WEST,Edmonton - Mill Woods West,44.57089574,44.71229359,0.024357839,2.43578388,EDMONTON,Z4,
47,HSA4.3.C,EDMONTON - MILL WOODS SOUTH & EAST,Edmonton - Mill Woods South & East,53.24466831,70.50594355,0.03123458,3.123458008,EDMONTON,Z4,
48,HSA4.4.A,EDMONTON - DUGGAN,Edmonton - Duggan,34.67940368,22.19327447,0.017941725,1.794172528,EDMONTON,Z4,
49,HSA4.4.B,EDMONTON - TWIN BROOKS,Edmonton - Twin Brooks,36.55206766,37.29270602,0.021869228,2.186922793,EDMONTON,Z4,
50,HSA4.4.C,EDMONTON - RUTHERFORD,Edmonton - Rutherford,35.54782925,42.04019952,0.024469707,2.446970747,EDMONTON,Z4,
51,HSA4.5.A,STURGEON COUNTY WEST,Sturgeon County West,35.75241177,45.1898958,0.022894986,2.289498581,EDMONTON,Z4,
52,HSA4.5.B,STURGEON COUNTY EAST & FORT SASKATCHEWAN,Sturgeon County East & Fort Saskatchewan,35.97894285,49.23434285,0.025436047,2.543604651,EDMONTON,Z4,
53,HSA4.6,SHERWOOD PARK/STRATHCONA COUNTY,Sherwood Park/Strathcona County,43.41508493,54.7172335,0.02515153,2.515152961,EDMONTON,Z4,
54,HSA4.7,LEDUC COUNTY,Leduc County,35.17538389,39.17555445,0.023333854,2.33338536,EDMONTON,Z4,
55,HSA4.8.A,STONY PLAIN & SPRUCE GROVE,Stony Plain & Spruce Grove,36.44574285,44.91854656,0.024278471,2.427847114,EDMONTON,Z4,
56,HSA4.8.B,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,Westview excluding Stony Plain & Spruce Grove,33.96748651,36.20395674,0.020281381,2.028138133,EDMONTON,Z4,
57,HSA4.9,ST. ALBERT,St. Albert,41.48046293,47.89145387,0.025444736,2.544473607,EDMONTON,Z4,
58,HSA5.1,NORTH ZONE - SW,North Zone - SW,30.33354519,35.28596073,0.024704173,2.470417272,NORTH,Z5,
59,HSA5.2,NORTH ZONE - SE,North Zone - SE,21.77037205,23.839457,0.021684475,2.168447517,NORTH,Z5,
60,HSA5.3,NORTH ZONE - CENTRAL WEST,North Zone - Central West,17.35762759,19.27651726,0.023821854,2.382185396,NORTH,Z5,
61,HSA5.4,NORTH ZONE - NW,North Zone - NW,18.28614907,17.75354278,0.022448264,2.244826377,NORTH,Z5,
62,HSA5.5,NORTH ZONE - NE,North Zone - NE,32.329936,18.9618393,0.013636364,1.363636364,NORTH,Z5,
63,HSA5.6,FORT MCMURRAY,Fort McMurray,39.78105238,46.56306385,0.022591618,2.2591618,NORTH,Z5,
64,HSA5.7,CITY OF GRANDE PRAIRIE,City of Grand Prairie,17.77960874,25.20584776,0.026323939,2.63239393,NORTH,Z5,
