Author,StudyYear,Continent,Country,Region,geo_type,zoom,admin,name,name_format,AgeRange,age_cat,Subgroup,Year,year_mid,IBD_IncidencePer100000,CD_IncidencePer100000,UC_IncidencePer100000,IBDU_IncidencePer100000,IBD_PrevalencePer100000,CD_PrevalencePer100000,UC_PrevalencePer100000,IBDU_PrevalencePer100000,Standardization,Reference,URL
Wang,2013,Asia,China,Shanghai (city),region,8,China,Shanghai,Shanghai,<15,Pediatric-Onset,Overall,2002,2002,0.06,,,,,,,,age-standardized,Wang et al. Inflammatory Bowel Disease in Chinese Children:  A Multicenter Analysis Over a Decade from Shanghai. Inlamm Bowel Dis. 2013;19:423.,http://dx.doi.org/10.1097/mib.0b013e318286f9f2
Wang,2013,Asia,China,Shanghai (city),region,8,China,Shanghai,Shanghai,<15,Pediatric-Onset,Overall,2003,2003,0.06,,,,,,,,age-standardized,Wang et al. Inflammatory Bowel Disease in Chinese Children:  A Multicenter Analysis Over a Decade from Shanghai. Inlamm Bowel Dis. 2013;19:423.,http://dx.doi.org/10.1097/mib.0b013e318286f9f2
Wang,2013,Asia,China,Shanghai (city),region,8,China,Shanghai,Shanghai,<15,Pediatric-Onset,Overall,2004,2004,0.18,,,,,,,,,Wang et al. Inflammatory Bowel Disease in Chinese Children:  A Multicenter Analysis Over a Decade from Shanghai. Inlamm Bowel Dis. 2013;19:423.,http://dx.doi.org/10.1097/mib.0b013e318286f9f2
Wang,2013,Asia,China,Shanghai (city),region,8,China,Shanghai,Shanghai,<15,Pediatric-Onset,Overall,2005,2005,0.19,,,,,,,,age-standardized,Wang et al. Inflammatory Bowel Disease in Chinese Children:  A Multicenter Analysis Over a Decade from Shanghai. Inlamm Bowel Dis. 2013;19:423.,http://dx.doi.org/10.1097/mib.0b013e318286f9f2
Wang,2013,Asia,China,Shanghai (city),region,8,China,Shanghai,Shanghai,<15,Pediatric-Onset,Overall,2006,2006,0.25,,,,,,,,age-standardized,Wang et al. Inflammatory Bowel Disease in Chinese Children:  A Multicenter Analysis Over a Decade from Shanghai. Inlamm Bowel Dis. 2013;19:423.,http://dx.doi.org/10.1097/mib.0b013e318286f9f2
Wang,2013,Asia,China,Shanghai (city),region,8,China,Shanghai,Shanghai,<15,Pediatric-Onset,Overall,2007,2007,0.24,,,,,,,,age-standardized,Wang et al. Inflammatory Bowel Disease in Chinese Children:  A Multicenter Analysis Over a Decade from Shanghai. Inlamm Bowel Dis. 2013;19:423.,http://dx.doi.org/10.1097/mib.0b013e318286f9f2
Wang,2013,Asia,China,Shanghai (city),region,8,China,Shanghai,Shanghai,<15,Pediatric-Onset,Overall,2008,2008,0.51,,,,,,,,age-standardized,Wang et al. Inflammatory Bowel Disease in Chinese Children:  A Multicenter Analysis Over a Decade from Shanghai. Inlamm Bowel Dis. 2013;19:423.,http://dx.doi.org/10.1097/mib.0b013e318286f9f2
Wang,2013,Asia,China,Shanghai (city),region,8,China,Shanghai,Shanghai,<15,Pediatric-Onset,Overall,2009,2009,0.55,,,,,,,,age-standardized,Wang et al. Inflammatory Bowel Disease in Chinese Children:  A Multicenter Analysis Over a Decade from Shanghai. Inlamm Bowel Dis. 2013;19:423.,http://dx.doi.org/10.1097/mib.0b013e318286f9f2
Wang,2013,Asia,China,Shanghai (city),region,8,China,Shanghai,Shanghai,<15,Pediatric-Onset,Overall,2010,2010,0.61,,,,,,,,age-standardized,Wang et al. Inflammatory Bowel Disease in Chinese Children:  A Multicenter Analysis Over a Decade from Shanghai. Inlamm Bowel Dis. 2013;19:423.,http://dx.doi.org/10.1097/mib.0b013e318286f9f2
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2002,2002,,,,,58,42,16,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2003,2003,,,,,,98,25,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2004,2004,,,,,,94,50,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2005,2005,,,,,,136,61,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2006,2006,,,,,,63,23,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2007,2007,,,,,,58,40,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2008,2008,,,,,,68,21,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2009,2009,,,,,,127,64,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2010,2010,,,,,,188,74,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2011,2011,,,,,,179,74,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2012,2012,,,,,,194,97,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2013,2013,,,,,,190,91,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2014,2014,,,,,,228,102,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2015,2015,,,,,,184,115,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Ghersin,2019,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2016,2016,,,,,373,245,128,,,Ghersin et al. Trends in the epidemiology of inflammatory bowel disease among Jewish Israeli adolescents: a population-based study. Aliment Pharmacol Ther. 2019;49:556.,http://dx.doi.org/10.1111/apt.15160
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Females,1998,1998,,,,,125.3,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Males,1998,1998,,,,,166.1,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,1998,1998,,,,,149.4,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,1999,1999,,,,,181.84,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2000,2000,,,,,189.89,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2001,2001,,,,,188.28,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2002,2002,,,,,204.77,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2003,2003,,,,,209.6,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2004,2004,,,,,208.39,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2005,2005,,,,,249.83,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2006,2006,,,,,212.41,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2007,2007,,,,,227.7,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2008,2008,,,,,201.15,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2009,2009,,,,,251.03,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Females,2010,2010,,,,,235,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Males,2010,2010,,,,,346.2,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Levi,2013,Asia,Israel,Israel,country,,Israel,Israel,Israel,17,Pediatric-Onset,Overall,2010,2010,,,,,301,,,,,Levi et al. The Increasing Prevalence of Inflammatory Bowel Diseases Among Jewish Adolescents and the Sociodemographic Factors Associated with Diagnosis. Inflamm Bowel Dis. 2013;19:1867.,http://dx.doi.org/10.1097/mib.0b013e31828a3797
Stulman,2021,Asia,Israel,Israel,country,,Israel,Israel,Israel,<18,Pediatric-Onset,Overall,2005,2005,,,,,37.4,,,,,Stulman et al. Epidemiology of inflammatory bowel disease in Israel: a nationwide Epi-Israeli IBD Research Nucleus Study. IBDJ. 2021;XX:XX.,http://dx.doi.org/10.1093/ibd/izaa341
Stulman,2021,Asia,Israel,Israel,country,,Israel,Israel,Israel,<18,Pediatric-Onset,Overall,2005,2005,,7.3,2.6,,,,,,,Stulman et al. Epidemiology of inflammatory bowel disease in Israel: a nationwide Epi-Israeli IBD Research Nucleus Study. IBDJ. 2021;XX:XX.,http://dx.doi.org/10.1093/ibd/izaa341
Stulman,2021,Asia,Israel,Israel,country,,Israel,Israel,Israel,<6,Very Early-Onset,Overall,2005-2017,2011,1.4,0.9,0.5,,,,,,,Stulman et al. Epidemiology of inflammatory bowel disease in Israel: a nationwide Epi-Israeli IBD Research Nucleus Study. IBDJ. 2021;XX:XX.,http://dx.doi.org/10.1093/ibd/izaa341
Stulman,2021,Asia,Israel,Israel,country,,Israel,Israel,Israel,6-9,Pediatric-Onset,Overall,2005-2017,2011,4.1,2.1,2,,,,,,,Stulman et al. Epidemiology of inflammatory bowel disease in Israel: a nationwide Epi-Israeli IBD Research Nucleus Study. IBDJ. 2021;XX:XX.,http://dx.doi.org/10.1093/ibd/izaa341
Stulman,2021,Asia,Israel,Israel,country,,Israel,Israel,Israel,10-17,Pediatric-Onset,Overall,2005-2017,2011,28,18.5,9.5,,,,,,,Stulman et al. Epidemiology of inflammatory bowel disease in Israel: a nationwide Epi-Israeli IBD Research Nucleus Study. IBDJ. 2021;XX:XX.,http://dx.doi.org/10.1093/ibd/izaa341
Stulman,2021,Asia,Israel,Israel,country,,Israel,Israel,Israel,<18,Pediatric-Onset,Overall,2017,2017,,8.3,4.4,,,,,,,Stulman et al. Epidemiology of inflammatory bowel disease in Israel: a nationwide Epi-Israeli IBD Research Nucleus Study. IBDJ. 2021;XX:XX.,http://dx.doi.org/10.1093/ibd/izaa341
Stulman,2021,Asia,Israel,Israel,country,,Israel,Israel,Israel,<18,Pediatric-Onset,Overall,2018,2018,,,,,52.2,,,,,Stulman et al. Epidemiology of inflammatory bowel disease in Israel: a nationwide Epi-Israeli IBD Research Nucleus Study. IBDJ. 2021;XX:XX.,http://dx.doi.org/10.1093/ibd/izaa341
Stulman,2021,Asia,Israel,Israel,country,,Israel,Israel,Israel,<6,Very Early-Onset,Overall,2018,2018,,,,,2.9,1.9,1,,,Stulman et al. Epidemiology of inflammatory bowel disease in Israel: a nationwide Epi-Israeli IBD Research Nucleus Study. IBDJ. 2021;XX:XX.,http://dx.doi.org/10.1093/ibd/izaa341
Stulman,2021,Asia,Israel,Israel,country,,Israel,Israel,Israel,6-9,Pediatric-Onset,Overall,2018,2018,,,,,17,10.4,6.6,,,Stulman et al. Epidemiology of inflammatory bowel disease in Israel: a nationwide Epi-Israeli IBD Research Nucleus Study. IBDJ. 2021;XX:XX.,http://dx.doi.org/10.1093/ibd/izaa341
Stulman,2021,Asia,Israel,Israel,country,,Israel,Israel,Israel,10-17,Pediatric-Onset,Overall,2018,2018,,,,,117.2,78.1,39.1,,,Stulman et al. Epidemiology of inflammatory bowel disease in Israel: a nationwide Epi-Israeli IBD Research Nucleus Study. IBDJ. 2021;XX:XX.,http://dx.doi.org/10.1093/ibd/izaa341
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,<20,Pediatric-Onset,Overall,2004,2004,,,,,,4.2,11,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,<10,Pediatric-Onset,Overall,2004,2004,,,,,,0.3,0.9,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,10-19,Pediatric-Onset,Overall,2004,2004,,,,,,7.7,20.3,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,<20,Pediatric-Onset,Overall,2005,2005,,,,,,4.43,11.39,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,<20,Pediatric-Onset,Overall,2006,2006,,,,,,4.82,11.67,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,<20,Pediatric-Onset,Overall,2007,2007,,,,,,5.34,12.06,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,<20,Pediatric-Onset,Overall,2008,2008,,,,,,5.7,12.22,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,<20,Pediatric-Onset,Overall,2009,2009,,,,,,6.06,13.16,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,<20,Pediatric-Onset,Overall,2010,2010,,,,,,6.14,13.27,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,<20,Pediatric-Onset,Overall,2011,2011,,,,,,6.66,14.7,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,<20,Pediatric-Onset,Overall,2012,2012,,,,,,7.21,15.8,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,<20,Pediatric-Onset,Overall,2013,2013,,,,,,7.2,15,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,<10,Pediatric-Onset,Overall,2013,2013,,,,,,0.4,0.8,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Ishige,2017,Asia,Japan,Japan,country,,Japan,Japan,Japan,10-19,Pediatric-Onset,Overall,2013,2013,,,,,,13.4,29.6,,age-standardized,Ishige et al. Temporal Trend of Pediatric Inflammatory Bowel Disease: Analysis of National Registry Data 2004 to 2013 in Japan. JPGN. 2017;65:e80.,http://dx.doi.org/10.1097/mpg.0000000000001547
Al-Qabandi,2011,Asia,Kuwait,Kuwait,country,,Kuwait,Kuwait,Kuwait,<16,Pediatric-Onset,Overall,1998-2008,2003,21.6,15.3,6,0.3,,,,,,"Al-Qabandi et al. Inflammatory bowel disease in children, an evolving problem in Kuwait. Saudi J Gastroenterol. 2011;17:323.",https://pubmed.ncbi.nlm.nih.gov/21912059
El Mouzan,2014,Asia,Saudi Arabia,Saudi Arabia,country,,Saudi Arabia,Saudi Arabia,Saudi Arabia,<15,Pediatric-Onset,Overall,2003,2003,0.25,0.14,0.11,,,,,,,El Mouzan et al. Incidence of Pediatric Inflammatory Bowel Disease in Saudi Arabia: A Multicenter National Study. Inflamm Bowel Dis. 2014;20:1085.,http://dx.doi.org/10.1097/mib.0000000000000048
