index,national,country,name_format,name,geo_ type,iso_a3,marker_lat,marker_long,name_popup,prev_popup,prev_popup_cd,prev_popup_uc,epi_stage_popup,WESP_18_class_popup,prev_IBD,prev_CD,prev_UC,prev_IBD_popup,prev_CD_popup,prev_UC_popup,epi_stage,pop_based,prev_most_recent,prev_AAPC,WESP_18_class,UN_geoscheme,decade,Notes,DeveloperNotes
24,,Colombia,,Colombia,country,COL,,,"<p style=""font-size: 150%""><b>Colombia</b></p>","<p style=""font-size: 125%""><b>National:</b> In 2012, the prevalence of Crohn’s disease and ulcerative colitis was 5.85/100,000 and 51.77/100,000, respectively (<a href='https://journals.lww.com/ajg/Fulltext/2018/02001/Prevalence_of_Crohn_s_Disease_and_Ulcerative.34.aspx' target='_blank'>Juliao 2018</a>).</p>","<p style=""font-size: 125%""><b>National:</b> In 2012, the prevalence of Crohn’s disease was 5.85/100,000 (<a href='https://journals.lww.com/ajg/Fulltext/2018/02001/Prevalence_of_Crohn_s_Disease_and_Ulcerative.34.aspx' target='_blank'>Juliao 2018</a>).</p>","<p style=""font-size: 125%""><b>National:</b> In 2012, the prevalence of ulcerative colitis was 51.77/100,000 (<a href='https://journals.lww.com/ajg/Fulltext/2018/02001/Prevalence_of_Crohn_s_Disease_and_Ulcerative.34.aspx' target='_blank'>Juliao 2018</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developing</p>",21.64814765,27.09668865,25.67877224,"<p style=""font-size: 125%"">Overall prevalence: 21.65<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 27.1<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 25.68<br></p>",E,pop,,,developing,,,,
25,,Colombia,,Cartagena,municipality,,10.3932,-75.4832,"<p style=""font-size: 150%""><b>Cartagena</b></p>","<p style=""font-size: 125%""><b>Cartagena:</b> In 2006, the prevalence of Crohn’s disease and ulcerative colitis was 7/100,000 and 12/100,000, respectively (<a href='' target='_blank'>Yepes-Baretto 2010</a>).</p>","<p style=""font-size: 125%""><b>Cartagena:</b> In 2006, the prevalence of Crohn’s disease was 7/100,000 (<a href='' target='_blank'>Yepes-Baretto 2010</a>).</p>","<p style=""font-size: 125%""><b>Cartagena:</b> In 2006, the prevalence of ulcerative colitis was 12/100,000 (<a href='' target='_blank'>Yepes-Baretto 2010</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developing</p>",21.64814765,27.09668865,25.67877224,"<p style=""font-size: 125%"">Overall prevalence: 21.65<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 27.1<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 25.68<br></p>",E,pop,,,developing,,,,
26,No,Croatia,,Croatia,country,HRV,,,"<p style=""font-size: 150%""><b>Croatia</b></p>","<p style=""font-size: 125%""><b>Primorsko-Goranska:</b> In 1995, the prevalence or Crohn’s disease and ulcerative colitis was 14.93/100,000 and 20.99/100,000, respectively. In 2004, the prevalence of Crohn’s disease and ulcerative colitis had risen to 83.7/100,000 and 84.9/100,000, respectively (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).<br><br>

<b>Vukovarsko-Srijemska:</b> In 1995, the prevalence of Crohn’s disease and ulcerative colitis was 2.5/100,000 and 7/100,000, respectively. In 2004, the prevalence of Crohn’s disease and ulcerative colitis was 6.3/100,000 and 19/100,000, respectively (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).<br><br>

<b>Zadar:</b> In 2004, the prevalence of Crohn’s disease and ulcerative colitis was 45/100,000 and 74.4/100,000, respectively (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>).<br><br>

<b>Zagreb:</b> In 1989, the prevalence of Crohn’s disease was 8.3/100,000 (<a href='https://academic.oup.com/ije/article/20/1/216/776967?login=true' target='_blank'>Vucelic 1991</a>).</p>","<p style=""font-size: 125%""><b>Primorsko-Goranska:</b> In 1995, the prevalence or Crohn’s disease was 14.93/100,000. In 2004, the prevalence had risen to 83.7/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).<br><br>

<b>Vukovarsko-Srijemska:</b> In 1995, the prevalence of Crohn’s disease was 2.5/100,000. In 2004, the prevalence was 6.3/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).<br><br>

<b>Zadar:</b> In 2004, the prevalence of Crohn’s disease was 45/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>).<br><br>

<b>Zagreb:</b> In 1989, the prevalence of Crohn’s disease was 8.3/100,000 (<a href='https://academic.oup.com/ije/article/20/1/216/776967?login=true' target='_blank'>Vucelic 1991</a>).</p>","<p style=""font-size: 125%""><b>Primorsko-Goranska:</b> In 1995, the prevalence or ulcerative colitis was 20.99/100,000. By 2004, the prevalence had risen to 84.9/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).<br><br>

<b>Vukovarsko-Srijemska:</b> In 1995, the prevalence of ulcerative colitis was 7/100,000. In 2004, the prevalence of ulcerative colitis was 19/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).<br><br>

<b>Zadar:</b> In 2004, the prevalence of ulcerative colitis was 74.4/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developed</p>",27.41733169,25.32826889,18.33751611,"<p style=""font-size: 125%"">Overall prevalence: 27.42<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 25.33<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 18.34<br></p>",AI,pop,,,developed,,,,
27,,Croatia,,Primorsko-Goranska,region,,,,"<p style=""font-size: 150%""><b>Primorsko-Goranska</b></p>","<p style=""font-size: 125%""><b>Primorsko-Goranska:</b> In 1995, the prevalence or Crohn’s disease and ulcerative colitis was 14.93/100,000 and 20.99/100,000, respectively. In 2004, the prevalence of Crohn’s disease and ulcerative colitis had risen to 83.7/100,000 and 84.9/100,000, respectively (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).</p>","<p style=""font-size: 125%""><b>Primorsko-Goranska:</b> In 1995, the prevalence or Crohn’s disease was 14.93/100,000. In 2004, the prevalence had risen to 83.7/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).</p>","<p style=""font-size: 125%""><b>Primorsko-Goranska:</b> In 1995, the prevalence or ulcerative colitis was 20.99/100,000. By 2004, the prevalence had risen to 84.9/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developed</p>",27.41733169,25.32826889,18.33751611,"<p style=""font-size: 125%"">Overall prevalence: 27.42<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 25.33<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 18.34<br></p>",AI,pop,,,developed,,,,
28,,Croatia,,Vukovarsko-Srijemska,region,,45.1774,18.8054,"<p style=""font-size: 150%""><b>Vukovarsko-Srijemska</b></p>","<p style=""font-size: 125%""><b>Vukovarsko-Srijemska:</b> In 1995, the prevalence of Crohn’s disease and ulcerative colitis was 2.5/100,000 and 7/100,000, respectively. In 2004, the prevalence of Crohn’s disease and ulcerative colitis was 6.3/100,000 and 19/100,000, respectively (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).</p>","<p style=""font-size: 125%""><b>Vukovarsko-Srijemska:</b> In 1995, the prevalence of Crohn’s disease was 2.5/100,000. In 2004, the prevalence was 6.3/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).</p>","<p style=""font-size: 125%""><b>Vukovarsko-Srijemska:</b> In 1995, the prevalence of ulcerative colitis was 7/100,000. In 2004, the prevalence was 19/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>, <a href='https://pubmed.ncbi.nlm.nih.gov/24851604/' target='_blank'>Pezerovic 2014</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developed</p>",27.41733169,25.32826889,18.33751611,"<p style=""font-size: 125%"">Overall prevalence: 27.42<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 25.33<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 18.34<br></p>",AI,pop,,,developed,,,,
29,,Croatia,,Zagreb,region,,45.815,15.9819,"<p style=""font-size: 150%""><b>Zagreb</b></p>","<p style=""font-size: 125%""><b>Zagreb:</b> In 1989, the prevalence of Crohn’s disease was 8.3/100,000 (<a href='https://academic.oup.com/ije/article/20/1/216/776967?login=true' target='_blank'>Vucelic 1991</a>).</p>","<p style=""font-size: 125%""><b>Zagreb:</b> In 1989, the prevalence of Crohn’s disease was 8.3/100,000 (<a href='https://academic.oup.com/ije/article/20/1/216/776967?login=true' target='_blank'>Vucelic 1991</a>).</p>",,"<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developed</p>",27.41733169,25.32826889,18.33751611,"<p style=""font-size: 125%"">Overall prevalence: 27.42<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 25.33<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 18.34<br></p>",AI,pop,,,developed,,,,
30,,Croatia,,Zadar County,region,,44.1194,15.2314,"<p style=""font-size: 150%""><b>Zadar</b></p>","<p style=""font-size: 125%""><b>Zadar:</b> In 2004, the prevalence of Crohn’s disease and ulcerative colitis was 45/100,000 and 74.4/100,000, respectively (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>).</p>","<p style=""font-size: 125%""><b>Zadar:</b> In 2004, the prevalence of Crohn’s disease was 45/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>).</p>","<p style=""font-size: 125%""><b>Zadar:</b> In 2004, the prevalence of ulcerative colitis was 74.4/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/24611329/' target='_blank'>Klarin 2013</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: acceleration in incidence</p>","<p style=""font-size: 125%"">Country status: developed</p>",27.41733169,25.32826889,18.33751611,"<p style=""font-size: 125%"">Overall prevalence: 27.42<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 25.33<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 18.34<br></p>",AI,pop,,,developed,,,,
31,No,Czech Republic,,Czech Republic,country,CZE,,,"<p style=""font-size: 150%""><b>Czech Republic</b></p>","<p style=""font-size: 125%""><b>North Bohemia:</b> In 1978, the prevalence of ulcerative colitis was 17.6/100,000 (Bitter 1980 (Ulcerozni Kolitida V Severoceskem Kraji)).</p>",,"<p style=""font-size: 125%""><b>North Bohemia:</b> In 1978, the prevalence of ulcerative colitis was 17.6/100,000 (Bitter 1980 (Ulcerozni Kolitida V Severoceskem Kraji)).</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>","<p style=""font-size: 125%"">Country status: developed</p>",3.472093814,17.2813258,25.93692029,"<p style=""font-size: 125%"">Overall prevalence: 3.47<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 17.28<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 25.94<br></p>",E,pop,,,developed,,,,
32,,Czech Republic,,North Bohemia,region,,50.6717,14.2289,"<p style=""font-size: 150%""><b>North Bohemia</b></p>","<p style=""font-size: 125%""><b>North Bohemia:</b> In 1978, the prevalence of ulcerative colitis was 17.6/100,000 (Bitter 1980 (Ulcerozni Kolitida V Severoceskem Kraji)).</p>",,"<p style=""font-size: 125%""><b>North Bohemia:</b> In 1978, the prevalence of ulcerative colitis was 17.6/100,000 (Bitter 1980 (Ulcerozni Kolitida V Severoceskem Kraji)).</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>","<p style=""font-size: 125%"">Country status: developed</p>",3.472093814,17.2813258,25.93692029,"<p style=""font-size: 125%"">Overall prevalence: 3.47<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 17.28<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 25.94<br></p>",E,pop,,,developed,,,,
33,No,Denmark,,Denmark,country,DNK,,,"<p style=""font-size: 150%""><b>Denmark</b></p>","<p style=""font-size: 125%""><b>Copenhagen:</b> In 1978, the prevalence of Crohn’s disease and ulcerative colitis was 34/100,000 and 117/100,000, respectively (<a href='https://pubmed.ncbi.nlm.nih.gov/6980161/' target='_blank'>Binder 1982</a>). In 1987, the prevalence of Crohn’s disease and ulcerative colitis was 54/100,000 and 161.2/100,000, respectively (<a href='https://www.tandfonline.com/doi/abs/10.3109/00365529209000127' target='_blank'>Munkholm 1992</a>, <a href='https://www.tandfonline.com/doi/abs/10.3109/00365529108998621' target='_blank'>Langholz 1991</a>). In 1967, including the Gentofte region, the prevalence of ulcerative colitis was 44.1/100,000 (<a href='https://www.tandfonline.com/doi/abs/10.3109/00365526809180141' target='_blank'>Bonnevie 1968</a>).<br><br>

<b>North Jutland:</b> In 2002, the prevalence of Crohn’s disease and ulcerative colitis was 151/100,000 and 294/100,000, respectively (<a href='https://journals.lww.com/eurojgh/Fulltext/2006/06000/Increase_in_incidence_and_prevalence_of.5.aspx' target='_blank'>Jacobsen 2006</a>).</p>","<p style=""font-size: 125%""><b>Copenhagen:</b> In 1978, the prevalence of Crohn’s disease was 34/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/6980161/' target='_blank'>Binder 1982</a>). In 1987, the prevalence was 54/100,000 (<a href='https://www.tandfonline.com/doi/abs/10.3109/00365529209000127' target='_blank'>Munkholm 1992</a>, <a href='https://www.tandfonline.com/doi/abs/10.3109/00365529108998621' target='_blank'>Langholz 1991</a>).<br><br>

<b>North Jutland:</b> In 2002, the prevalence of Crohn’s disease was 151/100,000 (<a href='https://journals.lww.com/eurojgh/Fulltext/2006/06000/Increase_in_incidence_and_prevalence_of.5.aspx' target='_blank'>Jacobsen 2006</a>).</p>","<p style=""font-size: 125%""><b>Copenhagen:</b>  In 1967, including the Gentofte region, the prevalence of ulcerative colitis was 44.1/100,000 (<a href='https://www.tandfonline.com/doi/abs/10.3109/00365526809180141' target='_blank'>Bonnevie 1968</a>). In 1978, the prevalence of ulcerative colitis was 117/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/6980161/' target='_blank'>Binder 1982</a>). In 1987, the prevalence of ulcerative colitis was 161.2/100,000 (<a href='https://www.tandfonline.com/doi/abs/10.3109/00365529209000127' target='_blank'>Munkholm 1992</a>, <a href='https://www.tandfonline.com/doi/abs/10.3109/00365529108998621' target='_blank'>Langholz 1991</a>).<br><br>

<b>North Jutland:</b> In 2002, the prevalence of ulcerative colitis was 294/100,000 (<a href='https://journals.lww.com/eurojgh/Fulltext/2006/06000/Increase_in_incidence_and_prevalence_of.5.aspx' target='_blank'>Jacobsen 2006</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developed</p>",23.44040538,8.39872199,6.749598205,"<p style=""font-size: 125%"">Overall prevalence: 23.44<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 8.4<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 6.75<br></p>",E,pop,,,developed,,,,
34,,Denmark,,COPENHAGEN,municipality,,55.6761,12.5683,"<p style=""font-size: 150%""><b>Copenhagen</b></p>","<p style=""font-size: 125%""><b>Copenhagen:</b> In 1978, the prevalence of Crohn’s disease and ulcerative colitis was 34/100,000 and 117/100,000, respectively (<a href='https://pubmed.ncbi.nlm.nih.gov/6980161/' target='_blank'>Binder 1982</a>). In 1987, the prevalence of Crohn’s disease and ulcerative colitis was 54/100,000 and 161.2/100,000, respectively (<a href='https://www.tandfonline.com/doi/abs/10.3109/00365529209000127' target='_blank'>Munkholm 1992</a>, <a href='https://www.tandfonline.com/doi/abs/10.3109/00365529108998621' target='_blank'>Langholz 1991</a>). In 1967, including the Gentofte region, the prevalence of ulcerative colitis was 44.1/100,000 (<a href='https://www.tandfonline.com/doi/abs/10.3109/00365526809180141' target='_blank'>Bonnevie 1968</a>).</p>","<p style=""font-size: 125%""><b>Copenhagen:</b> In 1978, the prevalence of Crohn’s disease was 34/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/6980161/' target='_blank'>Binder 1982</a>). In 1987, the prevalence was 54/100,000 (<a href='https://www.tandfonline.com/doi/abs/10.3109/00365529209000127' target='_blank'>Munkholm 1992</a>, <a href='https://www.tandfonline.com/doi/abs/10.3109/00365529108998621' target='_blank'>Langholz 1991</a>).</p>","<p style=""font-size: 125%""><b>Copenhagen:</b> In 1967, including the Gentofte region, the prevalence of ulcerative colitis was 44.1/100,000 (<a href='https://www.tandfonline.com/doi/abs/10.3109/00365526809180141' target='_blank'>Bonnevie 1968</a>). In 1978, the prevalence of ulcerative colitis was 117/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/6980161/' target='_blank'>Binder 1982</a>). In 1987, the prevalence of ulcerative colitis was 161.2/100,000 (<a href='https://www.tandfonline.com/doi/abs/10.3109/00365529209000127' target='_blank'>Munkholm 1992</a>, <a href='https://www.tandfonline.com/doi/abs/10.3109/00365529108998621' target='_blank'>Langholz 1991</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developed</p>",23.44040538,8.39872199,6.749598205,"<p style=""font-size: 125%"">Overall prevalence: 23.44<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 8.4<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 6.75<br></p>",E,pop,,,developed,,,,
35,,Denmark,,North Jutland,region,,56.8307,9.4931,"<p style=""font-size: 150%""><b>North Jutland</b></p>","<p style=""font-size: 125%""><b>North Jutland:</b> In 2002, the prevalence of Crohn’s disease and ulcerative colitis was 151/100,000 and 294/100,000, respectively (<a href='https://journals.lww.com/eurojgh/Fulltext/2006/06000/Increase_in_incidence_and_prevalence_of.5.aspx' target='_blank'>Jacobsen 2006</a>).</p>","<p style=""font-size: 125%""><b>North Jutland:</b> In 2002, the prevalence of Crohn’s disease was 151/100,000 (<a href='https://journals.lww.com/eurojgh/Fulltext/2006/06000/Increase_in_incidence_and_prevalence_of.5.aspx' target='_blank'>Jacobsen 2006</a>).</p>","<p style=""font-size: 125%""><b>North Jutland:</b> In 2002, the prevalence of ulcerative colitis was 294/100,000 (<a href='https://journals.lww.com/eurojgh/Fulltext/2006/06000/Increase_in_incidence_and_prevalence_of.5.aspx' target='_blank'>Jacobsen 2006</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developed</p>",23.44040538,8.39872199,6.749598205,"<p style=""font-size: 125%"">Overall prevalence: 23.44<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 8.4<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 6.75<br></p>",E,pop,,,developed,,,,
36,,Faroe Islands,,Faroe Islands,country,FRO,,,"<p style=""font-size: 150%""><b>Faroe Islands</b></p>","<p style=""font-size: 125%""><b>National:</b> In 1983, the prevalence of Crohn’s disease and ulcerative colitis was 31.8/100,000 and 157.3/100,000, respectively (<a href='https://www.tandfonline.com/doi/abs/10.3109/00365528609034645' target='_blank'>Berner 1986</a>).</p>","<p style=""font-size: 125%""><b>National:</b> In 1983, the prevalence of Crohn’s disease was 31.8/100,000 (<a href='https://www.tandfonline.com/doi/abs/10.3109/00365528609034645' target='_blank'>Berner 1986</a>).</p>","<p style=""font-size: 125%""><b>National:</b> In 1983, the prevalence of ulcerative colitis was 157.3/100,000 (<a href='https://www.tandfonline.com/doi/abs/10.3109/00365528609034645' target='_blank'>Berner 1986</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: prevalence equilibrium</p>","?<p style=""font-size: 125%"">Country status: developed</p>",3.587517899,26.38177893,4.498169584,"<p style=""font-size: 125%"">Overall prevalence: 3.59<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 26.38<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 4.5<br></p>",AI,notpop,,,?developed,,,,
37,,Finland,,Finland,country,FIN,,,"<p style=""font-size: 150%""><b>Finland</b></p>","<p style=""font-size: 125%""><b>National:</b> In 1993, the prevalence of Crohn’s disease and ulcerative colitis was 38/100,000 and 177/100,000, respectively (<a href='https://academic.oup.com/ecco-jcc/article/7/7/e256/407725?login=true' target='_blank'>Jussila 2013</a>).</p>","<p style=""font-size: 125%""><b>National:</b> In 1993, the prevalence of Crohn’s disease was 38/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/7/7/e256/407725?login=true' target='_blank'>Jussila 2013</a>).</p>","<p style=""font-size: 125%""><b>National:</b> In 1993, the prevalence of ulcerative colitis was 177/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/7/7/e256/407725?login=true' target='_blank'>Jussila 2013</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developed</p>",17.91101721,22.94862804,15.50811438,"<p style=""font-size: 125%"">Overall prevalence: 17.91<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 22.95<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 15.51<br></p>",E,notpop,,,developed,,,,
38,,Finland,,Helsinki,municipality,,60.1699,24.9384,"<p style=""font-size: 150%""><b>Helsinki</b></p>","<p style=""font-size: 125%""><b>Helsinki:</b> In 1993, the prevalence of Crohn’s disease and ulcerative colitis was 42/100,000 and 153/100,000, respectively (<a href='https://academic.oup.com/ecco-jcc/article/7/7/e256/407725?login=true' target='_blank'>Jussila 2013</a>).</p>","<p style=""font-size: 125%""><b>Helsinki:</b> In 1993, the prevalence of Crohn’s disease was 42/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/7/7/e256/407725?login=true' target='_blank'>Jussila 2013</a>).</p>","<p style=""font-size: 125%""><b>Helsinki:</b> In 1993, the prevalence of ulcerative colitis was 153/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/7/7/e256/407725?login=true' target='_blank'>Jussila 2013</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developed</p>",17.91101721,22.94862804,15.50811438,"<p style=""font-size: 125%"">Overall prevalence: 17.91<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 22.95<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 15.51<br></p>",E,notpop,,,developed,,,,
39,,Finland,,Kuopio,municipality,,62.898,27.6782,"<p style=""font-size: 150%""><b>Kuopio</b></p>","<p style=""font-size: 125%""><b>Kuopio:</b> In 1993, the prevalence of Crohn’s disease and ulcerative colitis was 24/100,000 and 178/100,000, respectively (<a href='https://academic.oup.com/ecco-jcc/article/7/7/e256/407725?login=true' target='_blank'>Jussila 2013</a>).</p>","<p style=""font-size: 125%""><b>Kuopio:</b> In 1993, the prevalence of Crohn’s disease was 24/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/7/7/e256/407725?login=true' target='_blank'>Jussila 2013</a>).</p>","<p style=""font-size: 125%""><b>Kuopio:</b> In 1993, the prevalence of ulcerative colitis was 178/100,000 (<a href='https://academic.oup.com/ecco-jcc/article/7/7/e256/407725?login=true' target='_blank'>Jussila 2013</a>).</p>","<p style=""font-size: 125%"">Epidemiological stage: emergence</p>","<p style=""font-size: 125%"">Country status: developed</p>",17.91101721,22.94862804,15.50811438,"<p style=""font-size: 125%"">Overall prevalence: 17.91<br></p>","<p style=""font-size: 125%"">Prevalence of Crohn's Disease: 22.95<br></p>","<p style=""font-size: 125%"">Prevalence of Ulcerative Colitis: 15.51<br></p>",E,notpop,,,developed,,,,
